hosp	unit	tech	teach	beds	unitsur	we			expe	full	pa
5	26	1	0	698	0	2.41082251082251	10	1	10
5	26	1	0	698	0	2.41082251082251	26	1	2
5	26	1	0	698	0	2.41082251082251	23	0	10
5	26	1	0	698	0	2.41082251082251	26	0	8
5	26	1	0	698	0	2.41082251082251	33	0	20
5	26	1	0	698	0	2.41082251082251	1	1	4
5	26	1	0	698	0	2.41082251082251	10	0	3
5	26	1	0	698	0	2.41082251082251	15	1	23
6	27	0	0	294	0	2.68916666666667	20	0	7
6	27	0	0	294	0	2.68916666666667	30	0	27
6	27	0	0	294	0	2.68916666666667	19	0	2
6	27	0	0	294	0	2.68916666666667	3.4	1	8
6	27	0	0	294	0	2.68916666666667	3.3	1	6
6	27	0	0	294	0	2.68916666666667	20	0	8
6	27	0	0	294	0	2.68916666666667	7	0	4
6	27	0	0	294	0	2.68916666666667	24	0	6
6	27	0	0	294	0	2.68916666666667	15	0	9
6	27	0	0	294	0	2.68916666666667	33	0	10
6	28	0	0	294	1	2.09166666666667	6	0	25
6	28	0	0	294	1	2.09166666666667	2	1	14
6	28	0	0	294	1	2.09166666666667	14	0	18
6	28	0	0	294	1	2.09166666666667	9	1	5
6	28	0	0	294	1	2.09166666666667	17	1	2
6	29	0	0	294	1	2.45145502645503	2	1	8
6	29	0	0	294	1	2.45145502645503	7	1	5
6	29	0	0	294	1	2.45145502645503	18	0	14
6	29	0	0	294	1	2.45145502645503	7	0	14
6	29	0	0	294	1	2.45145502645503	3	1	2
6	29	0	0	294	1	2.45145502645503	25	0	0
6	29	0	0	294	1	2.45145502645503	7	1	16
6	29	0	0	294	1	2.45145502645503	10	0	4
6	29	0	0	294	1	2.45145502645503	17	0	7
6	30	0	0	294	1	2.09732142857143	3	1	5
6	30	0	0	294	1	2.09732142857143	3	1	20
6	30	0	0	294	1	2.09732142857143	10	0	15
6	30	0	0	294	1	2.09732142857143	26	0	1
6	30	0	0	294	1	2.09732142857143	17	0	11
6	30	0	0	294	1	2.09732142857143	0.33	1	14
6	30	0	0	294	1	2.09732142857143	4	1	11
6	30	0	0	294	1	2.09732142857143	1	1	11
7	31	0	0	229	0	2.3258547008547		4	1	20
7	31	0	0	229	0	2.3258547008547		1.5	1	11
7	31	0	0	229	0	2.3258547008547		35	0	22
7	31	0	0	229	0	2.3258547008547		22	0	10
7	31	0	0	229	0	2.3258547008547		32	0	5
7	31	0	0	229	0	2.3258547008547		31	0	3
7	31	0	0	229	0	2.3258547008547		1	1	14
7	31	0	0	229	0	2.3258547008547		3	1	9
7	31	0	0	229	0	2.3258547008547		17	0	11
7	31	0	0	229	0	2.3258547008547		32	0	10
7	31	0	0	229	0	2.3258547008547		17	0	11
7	31	0	0	229	0	2.3258547008547		2	1	14
7	31	0	0	229	0	2.3258547008547		17	1	7
7	32	0	0	229	0	2.34444444444444	26	0	14
7	32	0	0	229	0	2.34444444444444	23	0	15
7	32	0	0	229	0	2.34444444444444	24	0	9
7	32	0	0	229	0	2.34444444444444	29	0	15
7	32	0	0	229	0	2.34444444444444	30	0	6
7	32	0	0	229	0	2.34444444444444	25	1	11
8	33	0	0	170	1	2.79632034632035	35	1	6
8	33	0	0	170	1	2.79632034632035	7	1	13
8	33	0	0	170	1	2.79632034632035	25	0	8
8	33	0	0	170	1	2.79632034632035	31	0	14
8	33	0	0	170	1	2.79632034632035	5	1	8
8	33	0	0	170	1	2.79632034632035	17	0	0
8	33	0	0	170	1	2.79632034632035	4	1	21
8	33	0	0	170	1	2.79632034632035	3	0	21
8	33	0	0	170	1	2.79632034632035	27	1	11
8	33	0	0	170	1	2.79632034632035	0.33	1	3
8	33	0	0	170	1	2.79632034632035	1	1	6
8	34	0	0	170	0	2.72019400352734	10	0	16
8	34	0	0	170	0	2.72019400352734	4	1	1
8	34	0	0	170	0	2.72019400352734	20	1	20
8	34	0	0	170	0	2.72019400352734	20	0	9
8	34	0	0	170	0	2.72019400352734	28	0	6
8	34	0	0	170	0	2.72019400352734	29	0	16
8	34	0	0	170	0	2.72019400352734	29	1	19
8	34	0	0	170	0	2.72019400352734	28	0	8
8	34	0	0	170	0	2.72019400352734	20	1	16
8	35	0	0	170	0	2.70544733044733	4	1	5
8	35	0	0	170	0	2.70544733044733	2	1	28
8	35	0	0	170	0	2.70544733044733	3	0	6
8	35	0	0	170	0	2.70544733044733	2	1	8
8	35	0	0	170	0	2.70544733044733	7	1	7
8	35	0	0	170	0	2.70544733044733	4	1	3
8	35	0	0	170	0	2.70544733044733	20	0	9
8	35	0	0	170	0	2.70544733044733	5	1	6
8	35	0	0	170	0	2.70544733044733	9	0	13
8	35	0	0	170	0	2.70544733044733	22	0	2
8	35	0	0	170	0	2.70544733044733	4	1	7
9	36	0	0	355	0	2.39821428571429	18	1	24
9	36	0	0	355	0	2.39821428571429	6	0	8
9	36	0	0	355	0	2.39821428571429	36	0	3
9	36	0	0	355	0	2.39821428571429	2	1	10
9	36	0	0	355	0	2.39821428571429	32	1	0
9	36	0	0	355	0	2.39821428571429	1	1	5
9	36	0	0	355	0	2.39821428571429	23	0	9
9	36	0	0	355	0	2.39821428571429	26	1	2
9	36	0	0	355	0	2.39821428571429	3	1	3
9	36	0	0	355	0	2.39821428571429	32	0	28
9	36	0	0	355	0	2.39821428571429	1	1	10
9	36	0	0	355	0	2.39821428571429	24	0	0
9	37	0	0	355	1	2.51542658730159	30	1	1
9	37	0	0	355	1	2.51542658730159	30	1	6
9	37	0	0	355	1	2.51542658730159	18	0	8
9	37	0	0	355	1	2.51542658730159	29	1	2
9	37	0	0	355	1	2.51542658730159	33	0	11
9	37	0	0	355	1	2.51542658730159	18	0	8
9	37	0	0	355	1	2.51542658730159	27	0	10
9	37	0	0	355	1	2.51542658730159	17	1	0
9	38	0	0	355	1	2.31964285714286	22	1	6
9	38	0	0	355	1	2.31964285714286	11	1	24
9	38	0	0	355	1	2.31964285714286	5	1	1
9	38	0	0	355	1	2.31964285714286	29	1	25
9	38	0	0	355	1	2.31964285714286	23	1	25
9	38	0	0	355	1	2.31964285714286	28	1	17
9	39	0	0	355	1	2.72198412698413	31	0	6
9	39	0	0	355	1	2.72198412698413	6	1	6
9	39	0	0	355	1	2.72198412698413	1	1	7
9	39	0	0	355	1	2.72198412698413	4	1	10
9	39	0	0	355	1	2.72198412698413	23	0	5
9	39	0	0	355	1	2.72198412698413	21	1	7
9	39	0	0	355	1	2.72198412698413	0	1	2
9	39	0	0	355	1	2.72198412698413	8	1	6
9	39	0	0	355	1	2.72198412698413	5	0	3
9	39	0	0	355	1	2.72198412698413	0.67	1	17
10	40	0	0	179	0	2.26014109347443	18	0	5
10	40	0	0	179	0	2.26014109347443	35	0	21
10	40	0	0	179	0	2.26014109347443	15	0	15
10	40	0	0	179	0	2.26014109347443	4	1	12
10	40	0	0	179	0	2.26014109347443	28	0	13
10	40	0	0	179	0	2.26014109347443	17	0	16
10	40	0	0	179	0	2.26014109347443	26	1	1
10	40	0	0	179	0	2.26014109347443	1	1	20
10	40	0	0	179	0	2.26014109347443	28	0	16
10	41	0	0	179	1	2.38002645502646	18	0	18
10	41	0	0	179	1	2.38002645502646	13	0	6
10	41	0	0	179	1	2.38002645502646	28	0	6
10	41	0	0	179	1	2.38002645502646	0.25	1	10
10	41	0	0	179	1	2.38002645502646	3	0	1
10	41	0	0	179	1	2.38002645502646	18	0	14
10	41	0	0	179	1	2.38002645502646	8	1	12
10	41	0	0	179	1	2.38002645502646	2	1	8
10	41	0	0	179	1	2.38002645502646	23	0	12
10	42	0	0	179	0	2.52777777777778	23	0	16
11	43	0	0	135	0	2.38078231292517	3	1	10
11	43	0	0	135	0	2.38078231292517	15	0	9
11	43	0	0	135	0	2.38078231292517	23	0	5
11	43	0	0	135	0	2.38078231292517	1	1	12
11	43	0	0	135	0	2.38078231292517	9	0	12
11	43	0	0	135	0	2.38078231292517	19	0	1
11	43	0	0	135	0	2.38078231292517	3	1	3
12	44	1	0	600	0	2.61011904761905	9	1	4
12	44	1	0	600	0	2.61011904761905	14	1	12
12	44	1	0	600	0	2.61011904761905	25	0	3
12	44	1	0	600	0	2.61011904761905	33	0	5
12	44	1	0	600	0	2.61011904761905	20	0	6
12	44	1	0	600	0	2.61011904761905	7	1	4
12	45	1	0	600	1	2.70097402597403	3	1	12
12	45	1	0	600	1	2.70097402597403	8.5	0	6
12	45	1	0	600	1	2.70097402597403	25	0	13
12	45	1	0	600	1	2.70097402597403	2	1	4
12	45	1	0	600	1	2.70097402597403	31	0	14
12	45	1	0	600	1	2.70097402597403	34	0	1
12	45	1	0	600	1	2.70097402597403	21	0	17
12	45	1	0	600	1	2.70097402597403	0	1	3
12	45	1	0	600	1	2.70097402597403	5.5	1	11
12	45	1	0	600	1	2.70097402597403	4	1	12
12	45	1	0	600	1	2.70097402597403	0	1	20
12	46	1	0	600	1	2.46544011544012	25	1	10
12	46	1	0	600	1	2.46544011544012	1	1	8
12	46	1	0	600	1	2.46544011544012	6	1	19
12	46	1	0	600	1	2.46544011544012	12	0	2
12	46	1	0	600	1	2.46544011544012	2	1	9
12	46	1	0	600	1	2.46544011544012	15	0	15
12	46	1	0	600	1	2.46544011544012	11	1	15
12	46	1	0	600	1	2.46544011544012	6	1	6
12	46	1	0	600	1	2.46544011544012	2	1	4
12	46	1	0	600	1	2.46544011544012	13	1	5
12	46	1	0	600	1	2.46544011544012	9	1	7
12	47	1	0	600	0	2.81612103174603	4	1	0
12	47	1	0	600	0	2.81612103174603	8	1	7
12	47	1	0	600	0	2.81612103174603	5	1	7
12	47	1	0	600	0	2.81612103174603	22	0	13
12	47	1	0	600	0	2.81612103174603	5	1	9
12	47	1	0	600	0	2.81612103174603	28	1	20
12	47	1	0	600	0	2.81612103174603	4	1	13
12	47	1	0	600	0	2.81612103174603	2	1	4
12	48	1	0	600	0	2.91663614163614	9	1	7
12	48	1	0	600	0	2.91663614163614	9	1	9
12	48	1	0	600	0	2.91663614163614	3	1	7
12	48	1	0	600	0	2.91663614163614	8	1	6
12	48	1	0	600	0	2.91663614163614	23	1	14
12	48	1	0	600	0	2.91663614163614	12	1	4
12	48	1	0	600	0	2.91663614163614	13	0	3
12	48	1	0	600	0	2.91663614163614	11	1	11
12	48	1	0	600	0	2.91663614163614	9	0	3
12	48	1	0	600	0	2.91663614163614	7	1	5
12	48	1	0	600	0	2.91663614163614	3	1	6
12	48	1	0	600	0	2.91663614163614	5	1	5
12	48	1	0	600	0	2.91663614163614	1.5	1	6
12	49	1	0	600	0	2.23169642857143	12	1	7
12	49	1	0	600	0	2.23169642857143	18	0	35
12	49	1	0	600	0	2.23169642857143	35	0	6
12	49	1	0	600	0	2.23169642857143	10	0	9
12	49	1	0	600	0	2.23169642857143	11	0	15
12	49	1	0	600	0	2.23169642857143	18	0	12
12	49	1	0	600	0	2.23169642857143	12	1	23
12	49	1	0	600	0	2.23169642857143	20	0	17
13	50	0	0	217	0	2.5211038961039		20	0	22
13	50	0	0	217	0	2.5211038961039		26	0	9
13	50	0	0	217	0	2.5211038961039		9	0	12
13	50	0	0	217	0	2.5211038961039		7	1	23
13	50	0	0	217	0	2.5211038961039		26	0	5
13	50	0	0	217	0	2.5211038961039		4	1	14
13	50	0	0	217	0	2.5211038961039		5	1	8
13	50	0	0	217	0	2.5211038961039		3	1	15
13	50	0	0	217	0	2.5211038961039		28	0	17
13	50	0	0	217	0	2.5211038961039		22	0	5
13	50	0	0	217	0	2.5211038961039		19	0	9
13	51	0	0	217	0	2.91263736263736	28	0	31
13	51	0	0	217	0	2.91263736263736	22	0	4
13	51	0	0	217	0	2.91263736263736	21	0	4
13	51	0	0	217	0	2.91263736263736	2	1	4
13	51	0	0	217	0	2.91263736263736	15	0	2
13	51	0	0	217	0	2.91263736263736	24	1	7
13	51	0	0	217	0	2.91263736263736	10	1	18
13	51	0	0	217	0	2.91263736263736	10	1	1
13	51	0	0	217	0	2.91263736263736	21	0	8
13	51	0	0	217	0	2.91263736263736	4	1	12
13	51	0	0	217	0	2.91263736263736	20	1	34
13	51	0	0	217	0	2.91263736263736	23	0	18
13	51	0	0	217	0	2.91263736263736	27	0	1
13	52	0	0	217	1	2.84047619047619	35	0	10
13	52	0	0	217	1	2.84047619047619	21	0	8
13	52	0	0	217	1	2.84047619047619	32	0	6
13	52	0	0	217	1	2.84047619047619	1	1	5
13	52	0	0	217	1	2.84047619047619	26	0	16
13	52	0	0	217	1	2.84047619047619	2	1	12
13	53	0	0	217	1	2.51248196248196	35	0	9
13	53	0	0	217	1	2.51248196248196	29	0	10
13	53	0	0	217	1	2.51248196248196	14	0	3
13	53	0	0	217	1	2.51248196248196	24	0	19
13	53	0	0	217	1	2.51248196248196	8	1	13
13	53	0	0	217	1	2.51248196248196	22	0	7
13	53	0	0	217	1	2.51248196248196	2	1	4
13	53	0	0	217	1	2.51248196248196	8	1	23
13	53	0	0	217	1	2.51248196248196	26	0	1
13	53	0	0	217	1	2.51248196248196	6	1	5
13	53	0	0	217	1	2.51248196248196	2	1	0
14	54	0	0	348	1	2.07281746031746	25	1	24
14	54	0	0	348	1	2.07281746031746	9	1	15
14	54	0	0	348	1	2.07281746031746	25	1	2
14	54	0	0	348	1	2.07281746031746	6	1	3
14	54	0	0	348	1	2.07281746031746	23	1	5
14	54	0	0	348	1	2.07281746031746	9	1	8
14	54	0	0	348	1	2.07281746031746	14	1	11
14	54	0	0	348	1	2.07281746031746	17	1	10
14	54	0	0	348	1	2.07281746031746	7	0	21
14	54	0	0	348	1	2.07281746031746	22	0	18
14	54	0	0	348	1	2.07281746031746	15	1	5
14	54	0	0	348	1	2.07281746031746	9	0	2
14	55	0	0	348	0	2.71011904761905	34	0	27
14	55	0	0	348	0	2.71011904761905	27	0	13
14	55	0	0	348	0	2.71011904761905	21	0	10
14	55	0	0	348	0	2.71011904761905	27	0	1
14	55	0	0	348	0	2.71011904761905	25	1	10
14	55	0	0	348	0	2.71011904761905	26	1	15
14	55	0	0	348	0	2.71011904761905	19	0	1
14	55	0	0	348	0	2.71011904761905	28	0	13
14	56	0	0	348	0	2.26335200746965	10	1	9
14	56	0	0	348	0	2.26335200746965	1	1	22
14	56	0	0	348	0	2.26335200746965	2	0	10
14	56	0	0	348	0	2.26335200746965	5	1	12
14	56	0	0	348	0	2.26335200746965	20	1	4
14	56	0	0	348	0	2.26335200746965	6	1	5
14	56	0	0	348	0	2.26335200746965	20	0	10
14	56	0	0	348	0	2.26335200746965	4.5	1	16
14	56	0	0	348	0	2.26335200746965	23	0	7
14	56	0	0	348	0	2.26335200746965	6	0	26
14	56	0	0	348	0	2.26335200746965	29	0	6
14	56	0	0	348	0	2.26335200746965	36	0	6
14	56	0	0	348	0	2.26335200746965	32	0	12
